,2015-05-03,2015-05-10,2015-05-17,2015-05-24,2015-05-31,2015-06-07,2015-06-14,2015-06-21,2015-06-28,2015-07-05,2015-07-12,2015-07-19,2015-07-26,2015-08-02,2015-08-09,2015-08-16,2015-08-23,2015-08-30,2015-09-06,2015-09-13,2015-09-20,2015-09-27,2015-10-04,2015-10-11,2015-10-18,2015-10-25,2015-11-01,2015-11-08,2015-11-15,2015-11-22,2015-11-29,2015-12-06,2015-12-13,2015-12-20,2015-12-27,2016-01-03,2016-01-10,2016-01-17,2016-01-24,2016-01-31,2016-02-07,2016-02-14,2016-02-21,2016-02-28,2016-03-06,2016-03-13,2016-03-20,2016-03-27,2016-04-03,2016-04-10,2016-04-17,2016-04-24,2016-05-01,2016-05-08,2016-05-15,2016-05-22,2016-05-29,2016-06-05,2016-06-12,2016-06-19,2016-06-26,2016-07-03,2016-07-10,2016-07-17,2016-07-24,2016-07-31,2016-08-07,2016-08-14,2016-08-21,2016-08-28,2016-09-04,2016-09-11,2016-09-18,2016-09-25,2016-10-02,2016-10-09,2016-10-16,2016-10-23,2016-10-30,2016-11-06,2016-11-13,2016-11-20,2016-11-27,2016-12-04,2016-12-11,2016-12-18,2016-12-25,2017-01-01,2017-01-08,2017-01-15,2017-01-22,2017-01-29,2017-02-05,2017-02-12,2017-02-19,2017-02-26,2017-03-05,2017-03-12,2017-03-19,2017-03-26,2017-04-02,2017-04-09,2017-04-16,2017-04-23,2017-04-30,2017-05-07,2017-05-14,2017-05-21,2017-05-28,2017-06-04,2017-06-11,2017-06-18,2017-06-25,2017-07-02,2017-07-09,2017-07-16,2017-07-23,2017-07-30,2017-08-06,2017-08-13,2017-08-20,2017-08-27,2017-09-03,2017-09-10,2017-09-17,2017-09-24,2017-10-01,2017-10-08,2017-10-15,2017-10-22,2017-10-29,2017-11-05,2017-11-12,2017-11-19,2017-11-26,2017-12-03,2017-12-10,2017-12-17,2017-12-24,2017-12-31,2018-01-07,2018-01-14,2018-01-21,2018-01-28,2018-02-04,2018-02-11,2018-02-18,2018-02-25,2018-03-04,2018-03-11,2018-03-18,2018-03-25,2018-04-01,2018-04-08,2018-04-15,2018-04-22,2018-04-29,2018-05-06,2018-05-13,2018-05-20,2018-05-27,2018-06-03,2018-06-10,2018-06-17,2018-06-24,2018-07-01,2018-07-08,2018-07-15,2018-07-22,2018-07-29,2018-08-05,2018-08-12,2018-08-19,2018-08-26,2018-09-02,2018-09-09,2018-09-16,2018-09-23,2018-09-30,2018-10-07,2018-10-14,2018-10-21,2018-10-28,2018-11-04,2018-11-11,2018-11-18,2018-11-25,2018-12-02,2018-12-09,2018-12-16,2018-12-23,2018-12-30,2019-01-06,2019-01-13,2019-01-20,2019-01-27,2019-02-03,2019-02-10,2019-02-17,2019-02-24,2019-03-03,2019-03-10,2019-03-17,2019-03-24,2019-03-31,2019-04-07,2019-04-14,2019-04-21,2019-04-28,2019-05-05,2019-05-12,2019-05-19,2019-05-26,2019-06-02,2019-06-09,2019-06-16,2019-06-23,2019-06-30,2019-07-07,2019-07-14,2019-07-21,2019-07-28,2019-08-04,2019-08-11,2019-08-18,2019-08-25,2019-09-01,2019-09-08,2019-09-15,2019-09-22,2019-09-29,2019-10-06,2019-10-13,2019-10-20,2019-10-27,2019-11-03,2019-11-10,2019-11-17,2019-11-24,2019-12-01,2019-12-08,2019-12-15,2019-12-22,2019-12-29,2020-01-05,2020-01-12,2020-01-19,2020-01-26,2020-02-02,2020-02-09,2020-02-16,2020-02-23,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19
에이핑크,50.0,44.0,37.0,36.0,36.0,39.0,37.0,39.0,36.0,44.0,89.0,100.0,92.0,76.0,65.0,61.0,59.0,52.0,36.0,36.0,46.0,55.0,36.0,30.0,30.0,27.0,39.0,40.0,35.0,35.0,27.0,28.0,25.0,43.0,47.0,30.0,31.0,37.0,27.0,24.0,26.0,27.0,34.0,29.0,17.0,19.0,13.0,12.0,11.0,16.0,23.0,25.0,17.0,14.0,13.0,21.0,13.0,11.0,12.0,10.0,12.0,15.0,13.0,13.0,18.0,15.0,9.0,12.0,13.0,16.0,11.0,16.0,16.0,34.0,48.0,31.0,25.0,9.0,21.0,12.0,10.0,15.0,5.0,21.0,22.0,11.0,14.0,14.0,16.0,18.0,9.0,20.0,9.0,15.0,12.0,12.0,14.0,9.0,15.0,11.0,13.0,9.0,18.0,11.0,11.0,17.0,13.0,17.0,7.0,12.0,12.0,23.0,87.0,61.0,30.0,23.0,24.0,22.0,20.0,19.0,17.0,13.0,13.0,19.0,6.0,14.0,12.0,14.0,13.0,12.0,6.0,9.0,11.0,12.0,9.0,13.0,9.0,18.0,21.0,20.0,13.0,20.0,16.0,9.0,12.0,8.0,10.0,9.0,8.0,9.0,9.0,8.0,9.0,29.0,13.0,21.0,8.0,9.0,7.0,7.0,6.0,3.0,7.0,8.0,19.0,54.0,31.0,28.0,21.0,22.0,16.0,21.0,9.0,9.0,4.0,5.0,7.0,4.0,9.0,5.0,6.0,6.0,8.0,6.0,10.0,10.0,8.0,5.0,5.0,7.0,16.0,13.0,25.0,19.0,8.0,9.0,5.0,10.0,8.0,8.0,5.0,5.0,6.0,10.0,10.0,7.0,7.0,5.0,7.0,6.0,10.0,11.0,7.0,7.0,9.0,4.0,7.0,8.0,7.0,8.0,7.0,11.0,6.0,7.0,7.0,9.0,5.0,3.0,3.0,8.0,9.0,6.0,5.0,10.0,6.0,5.0,5.0,4.0,5.0,6.0,3.0,3.0,8.0,6.0,9.0,5.0,4.0,7.0,8.0,9.0,6.0,3.0,7.0,5.0,7.0,13.0,8.0,8.0,18.0,21.0
조정석,1.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,3.0,6.0,7.0,10.0,13.0,10.0,8.0,8.0,7.0,5.0,3.0,2.0,1.0,4.0,3.0,8.0,5.0,1.0,1.0,3.0,6.0,6.0,4.0,2.0,0.0,6.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,3.0,5.0,7.0,8.0,8.0,7.0,11.0,12.0,12.0,12.0,8.0,8.0,8.0,12.0,10.0,3.0,6.0,5.0,7.0,8.0,5.0,6.0,5.0,1.0,2.0,4.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,5.0,1.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,0.0,3.0,2.0,2.0,3.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,4.0,4.0,4.0,6.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,0.0,4.0,3.0,1.0,2.0,2.0,3.0,0.0,2.0,1.0,3.0,2.0,0.0,1.0,2.0,1.0,2.0,9.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,2.0,0.0,2.0,0.0,3.0,8.0,100.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,0.0,3.0,5.0,5.0,1.0,2.0,3.0,1.0,3.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,4.0,3.0,3.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,2.0,0.0,3.0,1.0,5.0,11.0,9.0,13.0,11.0,5.0,6.0,8.0,6.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,4.0,2.0,1.0,3.0,2.0,2.0,2.0,12.0,7.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,4.0,3.0,4.0,7.0,7.0,10.0,12.0,11.0
엠씨더맥스,5.0,15.0,5.0,24.0,24.0,23.0,28.0,19.0,15.0,14.0,9.0,14.0,19.0,14.0,24.0,19.0,29.0,5.0,5.0,29.0,19.0,14.0,9.0,19.0,9.0,19.0,14.0,13.0,4.0,0.0,9.0,18.0,5.0,10.0,5.0,27.0,14.0,14.0,58.0,75.0,49.0,31.0,40.0,27.0,22.0,4.0,27.0,48.0,44.0,13.0,17.0,17.0,31.0,17.0,34.0,17.0,4.0,8.0,8.0,26.0,13.0,21.0,8.0,26.0,9.0,0.0,22.0,0.0,31.0,4.0,26.0,0.0,17.0,4.0,17.0,22.0,17.0,17.0,4.0,13.0,21.0,9.0,21.0,8.0,12.0,0.0,51.0,12.0,16.0,24.0,13.0,12.0,15.0,8.0,19.0,19.0,19.0,30.0,4.0,11.0,15.0,19.0,26.0,23.0,16.0,15.0,29.0,13.0,33.0,21.0,20.0,16.0,13.0,21.0,17.0,12.0,16.0,16.0,12.0,24.0,8.0,8.0,12.0,12.0,8.0,12.0,5.0,27.0,20.0,24.0,27.0,8.0,11.0,22.0,22.0,19.0,19.0,19.0,12.0,15.0,18.0,4.0,22.0,18.0,18.0,20.0,14.0,19.0,4.0,18.0,14.0,15.0,14.0,14.0,11.0,4.0,11.0,0.0,14.0,21.0,11.0,11.0,10.0,11.0,14.0,7.0,4.0,18.0,14.0,3.0,7.0,7.0,3.0,7.0,7.0,17.0,11.0,8.0,7.0,15.0,4.0,4.0,15.0,4.0,0.0,11.0,22.0,14.0,15.0,44.0,23.0,100.0,47.0,29.0,18.0,30.0,27.0,14.0,11.0,14.0,18.0,14.0,25.0,32.0,7.0,7.0,17.0,35.0,0.0,25.0,17.0,10.0,10.0,20.0,3.0,14.0,7.0,14.0,7.0,4.0,15.0,4.0,7.0,10.0,7.0,7.0,7.0,11.0,3.0,17.0,7.0,13.0,20.0,13.0,7.0,10.0,6.0,10.0,3.0,3.0,6.0,18.0,13.0,3.0,3.0,20.0,25.0,18.0,15.0,14.0,8.0,3.0,8.0,13.0,10.0,51.0,32.0,17.0,19.0,5.0
가호,11.0,11.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0,0.0,11.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,11.0,0.0,0.0,0.0,0.0,10.0,0.0,11.0,12.0,0.0,0.0,21.0,0.0,10.0,0.0,11.0,0.0,10.0,16.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,15.0,20.0,20.0,10.0,0.0,20.0,15.0,10.0,10.0,0.0,20.0,29.0,20.0,10.0,10.0,0.0,21.0,10.0,40.0,15.0,16.0,15.0,10.0,10.0,0.0,10.0,20.0,21.0,10.0,0.0,10.0,19.0,9.0,14.0,19.0,40.0,14.0,14.0,14.0,10.0,18.0,9.0,0.0,26.0,17.0,9.0,13.0,13.0,9.0,9.0,9.0,9.0,9.0,0.0,8.0,29.0,15.0,10.0,14.0,24.0,14.0,0.0,19.0,38.0,14.0,0.0,28.0,28.0,9.0,19.0,19.0,19.0,0.0,14.0,19.0,10.0,18.0,18.0,14.0,23.0,13.0,21.0,17.0,17.0,9.0,9.0,13.0,18.0,21.0,12.0,21.0,8.0,25.0,9.0,23.0,25.0,17.0,22.0,17.0,33.0,25.0,8.0,8.0,17.0,8.0,17.0,16.0,32.0,20.0,16.0,8.0,16.0,8.0,16.0,16.0,20.0,29.0,12.0,24.0,28.0,24.0,32.0,32.0,28.0,20.0,8.0,18.0,16.0,21.0,17.0,29.0,0.0,8.0,17.0,20.0,29.0,33.0,39.0,8.0,36.0,53.0,25.0,25.0,17.0,39.0,36.0,24.0,12.0,17.0,13.0,8.0,28.0,8.0,17.0,48.0,16.0,16.0,17.0,25.0,16.0,8.0,24.0,16.0,27.0,16.0,16.0,12.0,16.0,8.0,13.0,13.0,8.0,48.0,24.0,12.0,15.0,8.0,15.0,19.0,31.0,11.0,26.0,15.0,23.0,23.0,37.0,15.0,15.0,7.0,7.0,14.0,14.0,18.0,17.0,27.0,33.0,21.0,30.0,62.0,34.0,32.0,38.0,62.0,100.0,76.0,57.0,69.0,84.0,48.0
