,singer,sing,count,production,dist,time,sex,active_type
0,임재현,사랑에 연습이 있었다면 (Prod. 2soo),44009459,"엔에스씨컴퍼니, 디원미디어",카카오 M,2019.06.02~2019.06.08,남성,솔로
1,이하이,누구 없소 (NO ONE) (Feat. B.I of iKON),43074538,YG Entertainment,YG Plus,2019.06.02~2019.06.08,여성,솔로
2,Anne-Marie,2002,41877109,Atlantic Records UK,Warner Music,2019.06.02~2019.06.08,여성,솔로
3,다비치,너에게 못했던 내 마지막 말은,38165624,Stone Music Entertainment,지니뮤직,2019.06.02~2019.06.08,여성,듀엣
4,Billie Eilish,bad guy,33544212,"Darkroom, Interscope Records",Universal Music,2019.06.02~2019.06.08,여성,솔로
5,방탄소년단,작은 것들을 위한 시 (Boy With Luv) (Feat. Hals...,32741579,빅히트 엔터테인먼트,Dreamus,2019.06.02~2019.06.08,남성,그룹
6,잔나비,주저하는 연인들을 위해,28586209,페포니 뮤직,카카오 M,2019.06.02~2019.06.08,남성,밴드
7,TWICE,FANCY,25750142,JYP Entertainment,Dreamus,2019.06.02~2019.06.08,여성,그룹
8,박효신,Goodbye,23823214,글러브엔터테인먼트,카카오 M,2019.06.02~2019.06.08,남성,솔로
9,장범준,노래방에서,23558147,버스커버스커,카카오 M,2019.06.02~2019.06.08,남성,솔로
10,태연 (TAEYEON),사계 (Four Seasons),23489456,SM Entertainment,Dreamus,2019.06.02~2019.06.08,여성,솔로
11,WINNER,AH YEAH (아예),23150646,YG Entertainment,YG Plus,2019.06.02~2019.06.08,남성,그룹
12,볼빨간사춘기,"나만, 봄",22109270,쇼파르뮤직,카카오 M,2019.06.02~2019.06.08,여성,솔로
13,케이시 (Kassy),그때가 좋았어,20751878,넥스타엔터테인먼트,카카오 M,2019.06.02~2019.06.08,여성,솔로
14,우디(Woody),대충 입고 나와,19930459,인디안레이블,지니뮤직,2019.06.02~2019.06.08,남성,솔로
15,BLACKPINK,Kill This Love,19678247,YG Entertainment,YG Plus,2019.06.02~2019.06.08,여성,그룹
16,먼데이 키즈 (Monday Kiz),사랑이 식었다고 말해도 돼,18866135,먼데이키즈 컴퍼니,카카오 M,2019.06.02~2019.06.08,남성,솔로
17,엔플라잉 (N.Flying),옥탑방,17728565,FNC엔터테인먼트,카카오 M,2019.06.02~2019.06.08,남성,밴드
18,폴킴,"모든 날, 모든 순간 (Every day, Every Moment)",17279186,SM Entertainment,Dreamus,2019.06.02~2019.06.08,남성,솔로
19,엠씨더맥스 (M.C The Max),사계 (하루살이),17186896,325 이엔씨,카카오 M,2019.06.02~2019.06.08,남성,밴드
20,ITZY (있지),달라달라,17169233,JYP Entertainment,Dreamus,2019.06.02~2019.06.08,여성,그룹
21,첸 (CHEN),사월이 지나면 우리 헤어져요 (Beautiful goodbye),16700585,SM Entertainment,Dreamus,2019.06.02~2019.06.08,남성,솔로
22,볼빨간사춘기,별 보러 갈래?,15824063,쇼파르뮤직,카카오 M,2019.06.02~2019.06.08,여성,솔로
23,폴킴,너를 만나,15669404,뉴런뮤직,카카오 M,2019.06.02~2019.06.08,남성,솔로
24,기리보이(Giriboy),교통정리 (Feat. 헤이즈),15591923,린치핀뮤직,카카오 M,2019.06.02~2019.06.08,남성,솔로
25,Lauv,Paris In The Rain,15043761,뮤직테이블,NHN벅스,2019.06.02~2019.06.08,남성,솔로
26,장범준,당신과는 천천히,15012276,버스커버스커,카카오 M,2019.06.02~2019.06.08,남성,솔로
27,엠씨더맥스 (M.C The Max),넘쳐흘러,14658629,325 이엔씨,카카오 M,2019.06.02~2019.06.08,남성,밴드
28,청하,벌써 12시,13781150,MNH Entertainment,"지니뮤직, Stone Music Entertainment",2019.06.02~2019.06.08,여성,솔로
29,"소유 (SOYOU), 오반",비가 오잖아,13624842,"스타쉽엔터테인먼트, 로맨틱팩토리",카카오 M,2019.06.02~2019.06.08,혼성,프로젝트
30,잔나비,사랑하긴 했었나요 스쳐가는 인연이었나요 짧지않은 우리 함께했던 시간들...,13378785,페포니 뮤직,지니뮤직,2019.06.02~2019.06.08,남성,밴드
31,잔나비,뜨거운 여름밤은 가고 남은 건 볼품없지만,13375818,페포니 뮤직,카카오 M,2019.06.02~2019.06.08,남성,밴드
32,방탄소년단,소우주 (Mikrokosmos),13293466,빅히트 엔터테인먼트,Dreamus,2019.06.02~2019.06.08,남성,그룹
33,방탄소년단,봄날,12599042,빅히트 엔터테인먼트,Dreamus,2019.06.02~2019.06.08,남성,그룹
34,Naomi Scott,Speechless (Full),12570930,"Disney Enterprises,Inc.",Universal Music,2019.06.02~2019.06.08,여성,솔로
35,숀 (SHAUN),Way Back Home,12565448,디씨톰엔터테인먼트,Warner Music,2019.06.02~2019.06.08,남성,솔로
36,백예린,그건 아마 우리의 잘못은 아닐 거야,12196734,JYP Entertainment,Dreamus,2019.06.02~2019.06.08,여성,솔로
37,우디(Woody),이 노래가 클럽에서 나온다면,11950215,인디안레이블,지니뮤직,2019.06.02~2019.06.08,남성,솔로
38,오마이걸 (OH MY GIRL),다섯 번째 계절 (SSFWL),11937739,WM엔터테인먼트,카카오 M,2019.06.02~2019.06.08,여성,그룹
39,홍진영,오늘 밤에,11859230,뮤직K,카카오 M,2019.06.02~2019.06.08,여성,솔로
40,케이시 (Kassy),진심이 담긴 노래 (True Song),11721053,넥스타엔터테인먼트,카카오 M,2019.06.02~2019.06.08,여성,솔로
41,Ariana Grande,7 rings,11583712,"Republic Records, a division of UMG Recordings,Inc",Universal Music,2019.06.02~2019.06.08,여성,솔로
42,방탄소년단,Make It Right,11342324,빅히트 엔터테인먼트,Dreamus,2019.06.02~2019.06.08,남성,그룹
43,"Mena Massoud, Naomi Scott",A Whole New World,11229722,"Disney Enterprises,Inc.",Universal Music,2019.06.02~2019.06.08,혼성,그룹
44,하은 (라코스테남),신용재,11073195,인디안레이블,지니뮤직,2019.06.02~2019.06.08,남성,솔로
45,염따 (YumDDa),돈 Call Me (Prod. BRLLNT),11072841,"딩고뮤직, 염따",Dreamus,2019.06.02~2019.06.08,남성,솔로
46,방탄소년단,IDOL,11051835,빅히트 엔터테인먼트,Dreamus,2019.06.02~2019.06.08,남성,그룹
47,IZ*ONE (아이즈원),비올레타,10995384,"Stone Music Entertainment, OFF THE RECORD Entertainment",지니뮤직,2019.06.02~2019.06.08,여성,그룹
48,화사(Hwa Sa),멍청이(twit),10927835,RBW,카카오 M,2019.06.02~2019.06.08,여성,솔로
49,벤 (Ben),180도,10922650,메이저나인,지니뮤직,2019.06.02~2019.06.08,여성,솔로
50,마마무 (Mamamoo),고고베베 (gogobebe),10809240,RBW,카카오 M,2019.06.02~2019.06.08,여성,그룹
51,에픽하이 (EPIK HIGH),술이 달다 (Feat. 크러쉬),10667953,OURS Co.,카카오 M,2019.06.02~2019.06.08,남성,그룹
52,폴킴,초록빛,10361362,뉴런뮤직,카카오 M,2019.06.02~2019.06.08,남성,솔로
53,송하예,니 소식,10345049,더하기미디어,카카오 M,2019.06.02~2019.06.08,여성,솔로
54,TWICE,YES or YES,10266717,JYP Entertainment,Dreamus,2019.06.02~2019.06.08,여성,그룹
55,폴킴,비,10233007,뉴런뮤직,카카오 M,2019.06.02~2019.06.08,남성,솔로
56,Ariana Grande,"thank u, next",10139143,"Republic Records, a division of UMG Recordings,Inc",Universal Music,2019.06.02~2019.06.08,여성,솔로
57,임한별,이별하러 가는 길,10113731,모스트웍스,카카오 M,2019.06.02~2019.06.08,남성,솔로
58,"강현준 (Lil tachi), 김호진 (HOTCHKISS)",눈 (Prod. GIRIBOY),10013362,Stone Music Entertainment,지니뮤직,2019.06.02~2019.06.08,남성,프로젝트
59,이소라,신청곡 (Feat. SUGA of BTS),9944680,에르타알레,NHN벅스,2019.06.02~2019.06.08,여성,솔로
60,Jeremy Zucker,comethru,9848314,Universal Music,Universal Music,2019.06.02~2019.06.08,남성,솔로
61,케이윌 (K.Will),내 생에 아름다운,9782118,"뮤직앤뉴, 스튜디오앤뉴",뮤직앤뉴,2019.06.02~2019.06.08,남성,솔로
62,방탄소년단,Dionysus,9769119,빅히트 엔터테인먼트,Dreamus,2019.06.02~2019.06.08,남성,그룹
63,박봄,봄 (Feat. 산다라박),9762312,디네이션,NHN벅스,2019.06.02~2019.06.08,여성,솔로
64,닐로 (Nilo),지나오다,9760477,닐로 컴퍼니,퍼플파인 엔터테인먼트,2019.06.02~2019.06.08,남성,솔로
65,제니 (JENNIE),SOLO,9720430,YG Entertainment,YG PLUS,2019.06.02~2019.06.08,여성,솔로
66,양다일,고백,9689244,브랜뉴뮤직,카카오 M,2019.06.02~2019.06.08,남성,솔로
67,아이유 (IU),삐삐,9632582,카카오 M,카카오 M,2019.06.02~2019.06.08,여성,솔로
68,아이유 (IU),밤편지,9632529,"페이브엔터테인먼트,카카오 M",카카오 M,2019.06.02~2019.06.08,여성,솔로
69,"Jvcki Wai, Young B, Osshun Gum, 한요한",띵 (Prod. By 기리보이),9613042,"인디고뮤직, 딩고뮤직",카카오 M,2019.06.02~2019.06.08,혼성,프로젝트
70,윤건,너도 그냥 날 놓아주면 돼,9364546,센토엔터테인먼트,지니뮤직,2019.06.02~2019.06.08,남성,솔로
71,볼빨간사춘기,여행,8879009,쇼파르뮤직,카카오 M,2019.06.02~2019.06.08,여성,솔로
72,벤 (Ben),열애중,8753462,메이저나인,지니뮤직,2019.06.02~2019.06.08,여성,솔로
73,노을,너는 어땠을까,8626284,씨제스엔터테인먼트,카카오 M,2019.06.02~2019.06.08,남성,그룹
74,김재환,안녕하세요,8407710,스윙엔터테인먼트,"지니뮤직, Stone Music Entertainment",2019.06.02~2019.06.08,남성,솔로
75,송민호,아낙네,8361005,YG Entertainment,YG PLUS,2019.06.02~2019.06.08,남성,솔로
76,WINNER,MILLIONS,8284019,YG Entertainment,YG PLUS,2019.06.02~2019.06.08,남성,그룹
77,TWICE,Dance The Night Away,8281814,JYP Entertainment,Dreamus,2019.06.02~2019.06.08,여성,그룹
78,양다일,이 밤,8254770,브랜뉴뮤직,카카오 M,2019.06.02~2019.06.08,남성,솔로
79,방탄소년단,HOME,8248262,빅히트 엔터테인먼트,Dreamus,2019.06.02~2019.06.08,남성,그룹
80,잔나비,She (Hidden Track No.V 1월 선정곡),8071055,페포니 뮤직,카카오 M,2019.06.02~2019.06.08,남성,밴드
81,EXO,Love Shot,8021632,SM Entertainment,Dreamus,2019.06.02~2019.06.08,남성,그룹
82,임한별,오월의 어느 봄날 (Feat. 첸(CHEN)),8020704,모스트웍스,카카오 M,2019.06.02~2019.06.08,남성,솔로
83,허각,흔한 이별,7822614,플레이엠엔터테인먼트,카카오 M,2019.06.02~2019.06.08,남성,솔로
84,히키(Hickee),사랑에 연습이 있었다면 (답가),7749948,"꿈의엔진, 디원미디어",카카오 M,2019.06.02~2019.06.08,여성,솔로
85,"Ed Sheeran, Justin Bieber",I Don`t Care,7728840,Atlantic Records UK,Warner Music,2019.06.02~2019.06.08,남성,프로젝트
86,BLACKPINK,Don`t Know What To Do,7606007,YG Entertainment,YG Plus,2019.06.02~2019.06.08,여성,그룹
87,방탄소년단,Jamais Vu,7384160,빅히트 엔터테인먼트,Dreamus,2019.06.02~2019.06.08,남성,그룹
88,공기남,"Gloomy Star (Feat. 1ho, Chan)",7027741,에어뮤직,Warner Music,2019.06.02~2019.06.08,남성,솔로
89,"Marshmello, Anne-Marie",FRIENDS,6913302,Atlantic Records UK,Warner Music,2019.06.02~2019.06.08,혼성,프로젝트
90,길구봉구,있어줄래,6516266,뮤직웍스,지니뮤직,2019.06.02~2019.06.08,남성,그룹
91,"방탄소년단, Charli XCX",Dream Glow (BTS WORLD OST Part.1),6481714,"TakeOne Company, 빅히트엔터테인먼트",카카오 M,2019.06.02~2019.06.08,혼성,프로젝트
92,"오반, VAN.C",불면 (不眠),6416173,로맨틱팩토리,카카오 M,2019.06.02~2019.06.08,남성,프로젝트
93,비투비 (BTOB),아름답고도 아프구나,6388750,큐브엔터테인먼트,카카오 M,2019.06.02~2019.06.08,남성,그룹
94,하은요셉,여자친구,6355584,"인디안레이블, 메이저나인",지니뮤직,2019.06.02~2019.06.08,남성,그룹
95,임창정,하루도 그대를 사랑하지 않은 적이 없었다,6301869,NH EMG,인터파크,2019.06.02~2019.06.08,남성,솔로
96,Ed Sheeran,Shape of You,6250429,Atlantic Records UK,Warner Music,2019.06.02~2019.06.08,남성,솔로
97,Imagine Dragons,Believer,6233149,"KIDinaKORNER, Interscope Records",Universal Music,2019.06.02~2019.06.08,남성,그룹
98,비투비 (BTOB),그리워하다,6196890,큐브엔터테인먼트,카카오 M,2019.06.02~2019.06.08,남성,그룹
99,바이브 (Vibe),가을 타나 봐,6109065,메이저나인,지니뮤직,2019.06.02~2019.06.08,남성,그룹
100,BLACKPINK,뚜두뚜두 (DDU-DU DDU-DU),6100266,YG Entertainment,YG PLUS,2019.06.02~2019.06.08,여성,그룹
101,비투비 (BTOB),너 없인 안 된다,6082467,큐브엔터테인먼트,카카오 M,2019.06.02~2019.06.08,남성,그룹
102,10cm,그러나,6051306,매직스트로베리사운드,카카오 M,2019.06.02~2019.06.08,남성,솔로
103,AB6IX (에이비식스),BREATHE,5988045,브랜뉴뮤직,Warner Music,2019.06.02~2019.06.08,남성,그룹
104,"pH-1, Kid Milli, 루피 (Loopy)",Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트),5940233,Stone Music Entertainment,지니뮤직,2019.06.02~2019.06.08,남성,프로젝트
105,헤이즈 (Heize),SHE`S FINE,5853254,"Stone Music Entertainment, Studio blu",지니뮤직,2019.06.02~2019.06.08,여성,솔로
106,방탄소년단,Intro _ Persona,5765772,빅히트 엔터테인먼트,Dreamus,2019.06.02~2019.06.08,남성,그룹
107,Billie Eilish,Idontwannabeyouanymore,5739870,"Darkroom, Interscope Records",Universal Music,2019.06.02~2019.06.08,여성,솔로
108,Troye Sivan,Youth,5645779,Universal Music,Universal Music,2019.06.02~2019.06.08,남성,솔로
109,EXO,Tempo,5475851,SM Entertainment,Dreamus,2019.06.02~2019.06.08,남성,그룹
110,Shawn Mendes,If I Can`t Have You,5394325,"Island Records, a division of UMG Recordings, Inc.",Universal Music,2019.06.02~2019.06.08,남성,솔로
111,양다일,미안해,5392666,브랜뉴뮤직,카카오 M,2019.06.02~2019.06.08,남성,솔로
112,하성운,라이딩 (Riding) (Feat. 개코),5121890,스타크루이엔티,카카오 M,2019.06.02~2019.06.08,남성,솔로
113,이영지,"GO HIGH (Feat. 우원재, 창모 (CHANGMO), The ...",5069824,Stone Music Entertainment,지니뮤직,2019.06.02~2019.06.08,여성,솔로
114,Charlie Puth,Attention,5068935,Artist Partners,Warner Music,2019.06.02~2019.06.08,남성,솔로
115,멜로망스(Melomance),선물,4983957,"민트페이퍼, 광합성",카카오 M,2019.06.02~2019.06.08,남성,듀엣
116,"기리보이, Kid Milli, NO:EL, 스윙스 (Swings)",flex (Prod. By 기리보이),4982856,"인디고뮤직, 딩고뮤직",카카오 M,2019.06.02~2019.06.08,남성,그룹
117,볼빨간사춘기,Mermaid,4951737,쇼파르뮤직,카카오 M,2019.06.02~2019.06.08,여성,솔로
118,방탄소년단,FAKE LOVE,4893604,빅히트 엔터테인먼트,Dreamus,2019.06.02~2019.06.08,남성,그룹
119,"Lauv, Troye Sivan",i`m so tired...,4892854,뮤직테이블,NHN벅스,2019.06.02~2019.06.08,남성,프로젝트
120,Imagine Dragons,Thunder,4831345,"KIDinaKORNER, Interscope Records",Universal Music,2019.06.02~2019.06.08,남성,그룹
121,장덕철,그날처럼,4809667,리메즈,카카오 M,2019.06.02~2019.06.08,남성,그룹
122,Fitz & The Tantrums,HandClap,4768093,Elektra,Warner Music,2019.06.02~2019.06.08,혼성,밴드
123,Will Smith,Arabian Nights (2019),4606116,"Disney Enterprises,Inc.",Universal Music,2019.06.02~2019.06.08,남성,솔로
124,헤이즈 (Heize),비도 오고 그래서 (Feat. 신용재),4560996,Stone Music Entertainment,지니뮤직,2019.06.02~2019.06.08,여성,솔로
125,Alan Walker,"All Falls Down (Feat. Noah Cyrus, Digi...",4505959,MER Musikk,Sony Music,2019.06.02~2019.06.08,남성,솔로
126,황인욱,취하고 싶다 (Prod. By 전태익),4474617,678 MUSIC,뮤직파운드,2019.06.02~2019.06.08,남성,솔로
127,방탄소년단,DNA,4447265,빅히트 엔터테인먼트,Dreamus,2019.06.02~2019.06.08,남성,그룹
128,Camila Cabello,Havana (Feat. Young Thug),4400766,Syco Music/Epic,Sony Music,2019.06.02~2019.06.08,여성,솔로
129,청하,Roller Coaster,4389019,MNH Entertainment,"지니뮤직, Stone Music Entertainment",2019.06.02~2019.06.08,여성,솔로
130,The Chainsmokers,Closer (Feat. Halsey),4306465,"Disruptor Records, Columbia",Sony Music,2019.06.02~2019.06.08,남성,듀엣
131,IZ*ONE (아이즈원),라비앙로즈 (La Vie en Rose),4295505,"Stone Music Entertainment, OFF THE RECORD Entertainment",지니뮤직,2019.06.02~2019.06.08,여성,그룹
132,우주소녀,Boogie Up,4275585,스타쉽엔터테인먼트,카카오 M,2019.06.02~2019.06.08,여성,그룹
133,iKON,사랑을 했다 (LOVE SCENARIO),4228249,YG Entertainment,YG PLUS,2019.06.02~2019.06.08,남성,그룹
134,Charlie Puth,One Call Away,4196897,Artist Partners,Warner Music,2019.06.02~2019.06.08,남성,솔로
135,먼데이 키즈 (Monday Kiz),가을 안부,4184341,먼데이키즈 컴퍼니,지니뮤직,2019.06.02~2019.06.08,남성,솔로
136,에일리 (Ailee),첫눈처럼 너에게 가겠다,4121077,"Stone Music Entertainment, 화앤담픽쳐스","지니뮤직, Stone Music Entertainment",2019.06.02~2019.06.08,여성,솔로
137,BLACKPINK,Forever Young,4101650,YG Entertainment,YG PLUS,2019.06.02~2019.06.08,여성,그룹
138,Justin Bieber,Love Yourself,4101116,"Def Jam Recordings, a division of UMG Recordings, Inc",Universal Music,2019.06.02~2019.06.08,남성,솔로
139,모모랜드 (MOMOLAND),뿜뿜,3912466,"엠엘디엔터테인먼트, 카카오 M",카카오 M,2019.06.02~2019.06.08,여성,그룹
140,이하이,NO WAY (Feat. G.Soul),3895941,YG Entertainment,YG Plus,2019.06.02~2019.06.08,여성,솔로
141,Will Smith,Prince Ali,3893764,"Disney Enterprises,Inc.",Universal Music,2019.06.02~2019.06.08,남성,솔로
142,Charlie Puth,We Don`t Talk Anymore (Feat. Selena Go...,3763212,Artist Partners,Warner Music,2019.06.02~2019.06.08,남성,솔로
143,레드벨벳(Red Velvet),Power Up,3746508,SM Entertainment,Dreamus,2019.06.02~2019.06.08,여성,그룹
144,"로꼬, 화사",주지마,3735909,한국방송공사,카카오 M,2019.06.02~2019.06.08,혼성,프로젝트
145,"The Chainsmokers, Coldplay",Something Just Like This,3734774,"Disruptor Records, Columbia",Sony Music,2019.06.02~2019.06.08,남성,프로젝트
146,로꼬 (LOCO),시간이 들겠지 (Feat. Colde),3733357,AOMG,카카오 M,2019.06.02~2019.06.08,남성,솔로
147,Shawn Mendes,There`s Nothing Holdin` Me Back,3691622,"Island Records, a division of UMG Recordings, Inc.",Universal Music,2019.06.02~2019.06.08,남성,솔로
148,Post Malone & Swae Lee,Sunflower (Spider-Man _ Into The Spide...,3663801,Universal Music,Universal Music,2019.06.02~2019.06.08,남성,프로젝트
149,Taylor Swift,ME! (Feat. Brendon Urie of Panic! At T...,3659089,Taylor Swift,Universal Music,2019.06.02~2019.06.08,혼성,그룹
150,펀치 (Punch),헤어지는 중,3642635,냠냠엔터테인먼트,카카오 M,2019.06.02~2019.06.08,여성,솔로
151,윤종신,좋니,3640970,미스틱스토리,카카오 M,2019.06.02~2019.06.08,남성,솔로
152,멜로망스(MeloMance),You,3636073,JTBC,인터파크,2019.06.02~2019.06.08,남성,듀엣
153,이수,My Way,3624003,"윈드밀이엔티, 뮤직버디",뮤직앤뉴,2019.06.02~2019.06.08,남성,솔로
154,"Khalid, Disclosure",Talk,3621875,"Right Hand Music Group, LLC/RCA Records",Sony Music,2019.06.02~2019.06.08,남성,솔로
155,선미,사이렌 (Siren),3620126,메이크어스엔터테인먼트,카카오 M,2019.06.02~2019.06.08,여성,솔로
156,닐로 (Nilo),"미운 날 (The day, I hate myself)",3619231,리메즈,Universal Music,2019.06.02~2019.06.08,남성,솔로
157,레드벨벳(Red Velvet),빨간 맛 (Red Flavor),3597360,SM Entertainment,Dreamus,2019.06.02~2019.06.08,여성,그룹
158,Alan Walker,Faded,3557550,MER Musikk,Sony Music,2019.06.02~2019.06.08,남성,솔로
159,Maroon 5,Girls Like You (Feat. Cardi B),3547168,Interscope Records,Universal Music,2019.06.02~2019.06.08,남성,밴드
160,산들,날씨 좋은 날,3517140,WM엔터테인먼트,카카오 M,2019.06.02~2019.06.08,남성,솔로
161,"Alan Walker, Sabrina Carpenter, Farruko",On My Way,3499630,MER Recordings,Sony Music,2019.06.02~2019.06.08,남성,프로젝트
162,Mike Perry,The Ocean (Feat. Shy Martin) (Radio Ed...,3480341,DF Records,Sony Music,2019.06.02~2019.06.08,남성,프로젝트
163,방탄소년단,전하지 못한 진심 (Feat. Steve Aoki),3478439,빅히트 엔터테인먼트,Dreamus,2019.06.02~2019.06.08,남성,그룹
164,볼빨간사춘기,나의 사춘기에게,3456368,쇼파르뮤직,카카오 M,2019.06.02~2019.06.08,여성,솔로
165,세븐틴,9-TEEN,3455645,PLAYLIST,카카오 M,2019.06.02~2019.06.08,남성,그룹
166,"저스디스 (JUSTHIS), Kid Milli, NO:EL, 영비 (Young B)IM",IndiGO,3429249,인디고뮤직,카카오 M,2019.06.02~2019.06.08,남성,프로젝트
167,Maroon 5,Sugar,3427699,Interscope Records,Universal Music,2019.06.02~2019.06.08,남성,밴드
168,보아 (BoA),Feedback (Feat. 넉살),3416523,SM Entertainment,Dreamus,2019.06.02~2019.06.08,여성,솔로
169,김길중,사랑했지만,3401548,아이스타 네트워크,킹핀엔터테인먼트,2019.06.02~2019.06.08,남성,솔로
170,백예린,스며들기 좋은 오늘,3372844,PLAYLIST,카카오 M,2019.06.02~2019.06.08,여성,솔로
171,길구봉구,이 별,3360541,뮤직웍스,지니뮤직,2019.06.02~2019.06.08,남성,그룹
172,Billie Eilish,wish you were gay,3300514,"Darkroom, Interscope Records",Universal Music,2019.06.02~2019.06.08,여성,솔로
173,이우,공일공 (010),3274995,소리바다,소리바다,2019.06.02~2019.06.08,남성,솔로
174,Sia,Snowman,3223012,"Monkey Puzzle, Atlantic",Warner Music,2019.06.02~2019.06.08,여성,솔로
175,Sia,Chandelier,3205175,Monkey Puzzle Records,Sony Music,2019.06.02~2019.06.08,여성,솔로
176,Will Smith,Friend Like Me,3199995,"Disney Enterprises,Inc.",Universal Music,2019.06.02~2019.06.08,남성,솔로
177,닐로 (Nilo),넋두리,3184808,닐로엔터테인먼트,루미넌트엔터테인먼트,2019.06.02~2019.06.08,남성,솔로
178,TWICE,What is Love?,3173694,JYP Entertainment,Dreamus,2019.06.02~2019.06.08,여성,그룹
179,백예린,야간비행 (魔女の花),3172781,JYP Entertainment,Dreamus,2019.06.02~2019.06.08,여성,솔로
180,Jonas Brothers,Sucker,3172437,Jonas Brothers Recording,Universal Music,2019.06.02~2019.06.08,남성,그룹
181,Sam Smith,I`m Not The Only One,3172009,Capitol Records,Universal Music,2019.06.02~2019.06.08,남성,솔로
182,엠씨더맥스 (M.C The Max),어디에도,3167932,뮤직앤뉴,뮤직앤뉴,2019.06.02~2019.06.08,남성,밴드
183,로시 (Rothy),BEE,3158130,도로시 컴퍼니,"지니뮤직, Stone Music Entertainment",2019.06.02~2019.06.08,여성,솔로
184,거미,혼자,3148963,씨제스엔터테인먼트,카카오 M,2019.06.02~2019.06.08,여성,솔로
185,우원재,시차 (We Are) (Feat. 로꼬 & GRAY),3073367,AOMG,"지니뮤직, Stone Music Entertainment",2019.06.02~2019.06.08,남성,솔로
186,Adele,Someone Like You,3072549,XL Recordings,강앤뮤직,2019.06.02~2019.06.08,여성,솔로
187,"임재현, 문성욱",웃으며,3067805,엔에스씨컴퍼니,카카오 M,2019.06.02~2019.06.08,남성,프로젝트
188,10cm,폰서트,3066348,매직스트로베리사운드,카카오 M,2019.06.02~2019.06.08,남성,솔로
189,정효빈,처음이라서,3052815,Square record,Warner Music,2019.06.02~2019.06.08,여성,솔로
190,Lauv,I Like Me Better,3021298,뮤직테이블,NHN벅스,2019.06.02~2019.06.08,남성,솔로
191,김하온 (HAON),붕붕 (Feat. Sik-K) (Prod. GroovyRoom),2985975,Stone Music Entertainment,지니뮤직,2019.06.02~2019.06.08,남성,솔로
192,아이유 (IU),팔레트 (Feat. G-DRAGON),2942336,"페이브엔터테인먼트,카카오 M",카카오 M,2019.06.02~2019.06.08,여성,솔로
193,장덕철,알았다면,2932492,리메즈,카카오 M,2019.06.02~2019.06.08,남성,그룹
194,Billie Eilish,bury a friend,2931573,"Darkroom, Interscope Records",Universal Music,2019.06.02~2019.06.08,여성,솔로
195,BLACKPINK,마지막처럼,2931336,YG Entertainment,YG PLUS,2019.06.02~2019.06.08,여성,그룹
196,Billie Eilish,Bellyache,2898332,Universal Music,Universal Music,2019.06.02~2019.06.08,여성,솔로
197,오반 (OVAN),행복,2863944,로맨틱팩토리,Warner Music,2019.06.02~2019.06.08,남성,솔로
198,볼빨간사춘기,나들이 갈까,2862674,쇼파르뮤직,카카오 M,2019.06.02~2019.06.08,여성,솔로
199,"Zedd, Alessia Cara",Stay,2855831,Interscope Records,Universal Music,2019.06.02~2019.06.08,혼성,프로젝트
200,김나영,솔직하게 말해서 나,48230368,네버랜드엔터테인먼트,카카오 M,2019.06.09~2019.06.15,여성,솔로
201,Anne-Marie,2002,42146426,Atlantic Records UK,Warner Music,2019.06.09~2019.06.15,여성,솔로
202,임재현,사랑에 연습이 있었다면 (Prod. 2soo),40427761,"엔에스씨컴퍼니, 디원미디어",카카오 M,2019.06.09~2019.06.15,남성,솔로
203,다비치,너에게 못했던 내 마지막 말은,35906703,Stone Music Entertainment,지니뮤직,2019.06.09~2019.06.15,여성,듀엣
204,이하이,누구 없소 (NO ONE) (Feat. B.I of iKON),32235911,YG Entertainment,YG Plus,2019.06.09~2019.06.15,여성,솔로
205,Billie Eilish,bad guy,32206664,"Darkroom, Interscope Records",Universal Music,2019.06.09~2019.06.15,여성,솔로
206,방탄소년단,작은 것들을 위한 시 (Boy With Luv) (Feat. Hals...,29907792,빅히트 엔터테인먼트,Dreamus,2019.06.09~2019.06.15,남성,그룹
207,잔나비,주저하는 연인들을 위해,25634792,페포니 뮤직,카카오 M,2019.06.09~2019.06.15,남성,밴드
208,TWICE,FANCY,23456989,JYP Entertainment,Dreamus,2019.06.09~2019.06.15,여성,그룹
209,Naomi Scott,Speechless (Full),22312905,"Disney Enterprises,Inc.",Universal Music,2019.06.09~2019.06.15,여성,솔로
210,장범준,노래방에서,21878230,버스커버스커,카카오 M,2019.06.09~2019.06.15,남성,솔로
211,태연 (TAEYEON),사계 (Four Seasons),21801659,SM Entertainment,Dreamus,2019.06.09~2019.06.15,여성,솔로
212,박효신,Goodbye,21680499,글러브엔터테인먼트,카카오 M,2019.06.09~2019.06.15,남성,솔로
213,어반 자카파 (Urban Zakapa),서울 밤 (Feat. 빈지노),21309284,메이크어스엔터테인먼트,카카오 M,2019.06.09~2019.06.15,혼성,그룹
214,볼빨간사춘기,"나만, 봄",19963797,쇼파르뮤직,카카오 M,2019.06.09~2019.06.15,여성,솔로
215,먼데이 키즈 (Monday Kiz),사랑이 식었다고 말해도 돼,19673448,먼데이키즈 컴퍼니,카카오 M,2019.06.09~2019.06.15,남성,솔로
216,케이시 (Kassy),그때가 좋았어,19604650,넥스타엔터테인먼트,카카오 M,2019.06.09~2019.06.15,여성,솔로
